               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.016594,           0.0059387,                   0,                   1,             0.97386,             0.97682,             0.84347,            0.015459,           0.0023315,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.018254,           0.0056198,                   0,             0.99125,             0.97674,             0.97675,             0.84464,            0.013025,           0.0023103,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.017367,           0.0061716,                   0,             0.99717,             0.97674,             0.97667,             0.81081,            0.015469,           0.0023798,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.017358,           0.0060386,                   0,                   1,             0.97628,             0.97643,             0.86439,             0.01237,           0.0022777,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.016085,           0.0056509,                   0,                   1,              0.9506,               0.976,             0.90125,            0.011754,           0.0022721,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.016414,           0.0057255,                   0,             0.99705,             0.95349,             0.97603,             0.87132,            0.011742,           0.0024171,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.016368,           0.0058206,                   0,              0.9991,             0.97674,             0.97803,             0.89128,            0.011637,           0.0023931,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.016403,           0.0061004,                   0,             0.99739,             0.97674,             0.97675,             0.90063,            0.010086,           0.0021247,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.01561,           0.0050057,                   0,             0.99729,             0.97674,             0.97656,             0.85558,            0.011504,           0.0024885,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.015965,            0.005652,                   0,             0.99808,             0.97674,             0.97649,             0.88037,            0.010709,           0.0023619,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.015335,            0.005339,                   0,             0.97218,             0.97674,             0.97553,             0.89595,            0.010403,           0.0023168,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.015113,           0.0054684,                   0,             0.99777,             0.97674,             0.97744,             0.84812,            0.011849,           0.0022413,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.013702,           0.0054128,                   0,              0.9995,             0.97674,             0.97757,             0.90696,            0.010931,           0.0021018,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.01409,           0.0055375,                   0,              0.9972,             0.97674,             0.97804,             0.93814,            0.010769,           0.0020826,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.014051,           0.0051871,                   0,             0.99842,             0.97674,             0.97834,             0.90272,            0.010489,           0.0022433,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.013801,            0.005074,                   0,                   1,             0.97563,             0.97824,             0.92073,            0.010245,           0.0020189,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.012836,           0.0048502,                   0,                   1,              0.9767,             0.97781,             0.89207,            0.010606,            0.002103,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.013556,           0.0052266,                   0,                   1,              0.9763,             0.97813,                 0.9,            0.011176,           0.0020081,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.013247,           0.0051632,                   0,                   1,             0.97529,             0.97813,             0.92074,           0.0096605,           0.0022047,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.012963,            0.005272,                   0,             0.99627,             0.93023,             0.97594,             0.89811,            0.010799,           0.0021493,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.012096,           0.0048955,                   0,             0.99726,             0.93023,             0.97479,             0.91144,                0.01,           0.0021887,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.01243,           0.0048903,                   0,             0.99916,             0.93023,              0.9747,             0.90884,            0.010155,           0.0022138,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.012452,           0.0052437,                   0,                   1,             0.95193,             0.97649,             0.93552,           0.0087933,           0.0023097,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.012023,           0.0051963,                   0,                   1,             0.97292,             0.97821,             0.90071,            0.009732,           0.0024847,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.011588,           0.0047246,                   0,             0.99835,             0.95349,             0.97767,             0.94361,            0.009236,           0.0023229,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.011647,           0.0048451,                   0,                   1,             0.95254,              0.9779,             0.92882,           0.0095824,           0.0022179,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.011995,            0.004834,                   0,             0.97589,             0.97674,             0.97752,             0.91153,           0.0095445,           0.0025147,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.01142,           0.0044522,                   0,                   1,             0.97319,             0.97852,             0.92216,           0.0095034,           0.0021695,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.011372,           0.0045633,                   0,             0.99806,             0.97674,             0.97819,             0.93107,           0.0087093,           0.0020859,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.011455,           0.0048985,                   0,             0.99871,             0.97674,             0.97775,             0.93769,           0.0075494,           0.0019907,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.011402,           0.0046739,                   0,             0.99852,             0.97674,             0.97803,             0.95358,           0.0083604,           0.0019476,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.010291,           0.0048428,                   0,             0.99474,             0.97674,             0.97823,             0.93714,           0.0078023,           0.0019221,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.011143,           0.0044523,                   0,                   1,             0.97111,             0.97856,             0.95382,           0.0080813,           0.0020692,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.010082,           0.0044183,                   0,             0.99726,             0.97674,             0.97815,             0.94292,           0.0079451,           0.0021133,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.010506,           0.0048495,                   0,             0.99679,             0.97674,             0.97839,             0.95479,           0.0089605,           0.0021509,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.010796,           0.0046286,                   0,                   1,             0.97287,             0.97843,             0.94176,           0.0083646,           0.0020229,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.010503,           0.0043724,                   0,              0.9736,             0.97674,             0.97768,             0.95116,           0.0078319,           0.0019602,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.010132,           0.0042667,                   0,              0.9947,             0.97674,             0.97895,              0.9503,           0.0080201,           0.0020622,                   0,            0.002674,            0.002674,            0.002674
                  76,           0.0098918,           0.0043623,                   0,             0.98735,             0.97674,              0.9792,             0.94734,           0.0077468,           0.0022985,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.010234,           0.0043298,                   0,                   1,             0.95335,             0.97917,             0.94728,           0.0072933,           0.0023142,                   0,            0.002476,            0.002476,            0.002476
                  78,           0.0098707,           0.0045035,                   0,                   1,             0.96615,             0.97879,             0.96072,           0.0075421,           0.0021228,                   0,            0.002377,            0.002377,            0.002377
                  79,           0.0088591,           0.0041417,                   0,               0.973,             0.97674,             0.97796,              0.9617,           0.0075608,           0.0019193,                   0,            0.002278,            0.002278,            0.002278
                  80,           0.0092116,           0.0041104,                   0,                   1,             0.94966,             0.97775,              0.9591,           0.0075286,           0.0021017,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.009078,           0.0041969,                   0,                   1,             0.96855,              0.9789,             0.94853,           0.0076686,           0.0022575,                   0,             0.00208,             0.00208,             0.00208
                  82,           0.0091495,           0.0043384,                   0,             0.99311,             0.97674,             0.97869,             0.94676,           0.0072579,           0.0021693,                   0,            0.001981,            0.001981,            0.001981
                  83,           0.0084639,           0.0042907,                   0,             0.99359,             0.97674,             0.97904,             0.95001,           0.0076207,           0.0021406,                   0,            0.001882,            0.001882,            0.001882
                  84,           0.0084194,           0.0042288,                   0,             0.95279,             0.97674,             0.97802,             0.94916,             0.00755,           0.0020177,                   0,            0.001783,            0.001783,            0.001783
                  85,           0.0085039,           0.0036901,                   0,                   1,             0.95269,             0.97827,             0.95291,           0.0073929,            0.002117,                   0,            0.001684,            0.001684,            0.001684
                  86,           0.0087152,           0.0042825,                   0,             0.96994,             0.97674,             0.97786,             0.96213,           0.0069493,            0.002008,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0080214,           0.0041544,                   0,             0.97674,             0.97638,             0.97781,             0.95532,           0.0072405,           0.0019656,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0079689,           0.0037854,                   0,              0.9729,             0.97674,             0.97808,             0.95325,            0.006957,           0.0019962,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.007892,           0.0040494,                   0,             0.97365,             0.97674,             0.97827,             0.96064,           0.0067822,           0.0019028,                   0,            0.001288,            0.001288,            0.001288
                  90,           0.0076875,           0.0038625,                   0,             0.99037,             0.97674,             0.97907,             0.95924,           0.0068968,           0.0017904,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.00813,           0.0042028,                   0,             0.99085,             0.97674,             0.97914,               0.958,           0.0066132,           0.0016782,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0077513,           0.0042751,                   0,             0.99978,             0.97674,              0.9792,              0.9609,           0.0064775,           0.0017178,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0075074,           0.0037429,                   0,                   1,             0.97157,             0.97923,             0.96543,           0.0064674,           0.0017886,                   0,            0.000892,            0.000892,            0.000892
                  94,           0.0080401,           0.0040584,                   0,             0.99992,             0.97674,             0.97948,             0.95865,           0.0062971,           0.0018626,                   0,            0.000793,            0.000793,            0.000793
                  95,           0.0073189,           0.0038379,                   0,               0.999,             0.97674,             0.97923,             0.96527,           0.0062742,           0.0017527,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0072616,           0.0038769,                   0,                   1,              0.9745,             0.97937,             0.96554,           0.0064085,           0.0018404,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.008027,           0.0039707,                   0,                   1,             0.97203,              0.9792,             0.96539,            0.006261,           0.0016227,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0074359,           0.0039254,                   0,              0.9977,             0.95349,             0.97887,             0.96881,           0.0063794,           0.0016106,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0074895,           0.0038632,                   0,             0.99759,             0.95349,              0.9788,             0.97052,           0.0063217,           0.0016596,                   0,            0.000298,            0.000298,            0.000298
